Linux 3.10.0-229.el7.x86_64 (ip-10-234-134-85.us-west-1.compute.internal) 	09/02/2015 	_x86_64_	(16 CPU)

06:57:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:58:43 PM     all      0.79      0.00      0.63      1.32      0.10     97.16
06:59:43 PM     all      0.16      0.00      0.83      1.73      0.12     97.16
07:00:43 PM     all      0.27      0.00      1.52      1.73      0.17     96.31
07:01:43 PM     all      2.05      0.00      1.91      1.19      0.13     94.72
07:02:43 PM     all      0.03      0.00      0.33      3.65      0.15     95.84
07:03:43 PM     all      0.03      0.00      0.38      3.91      0.13     95.55
07:04:43 PM     all      0.04      0.00      0.39      4.25      0.11     95.21
07:05:43 PM     all      0.80      0.00      1.02      2.85      0.10     95.23
07:06:43 PM     all      1.38      0.00      2.72      1.77      0.07     94.06
07:07:43 PM     all      3.92      0.00      2.29      0.32      0.01     93.46
07:08:43 PM     all      5.31      0.00      1.28      0.01      0.02     93.38
07:09:43 PM     all      5.50      0.00      1.23      0.03      0.05     93.19
07:10:43 PM     all      5.50      0.00      1.27      0.03      0.05     93.15
07:11:43 PM     all      5.51      0.00      1.29      0.02      0.04     93.14
07:12:43 PM     all      5.56      0.00      1.36      0.01      0.02     93.05
07:13:43 PM     all      5.51      0.00      1.34      0.01      0.03     93.11
07:14:43 PM     all      5.56      0.00      1.33      0.01      0.02     93.08
07:15:43 PM     all      5.56      0.00      1.33      0.01      0.02     93.07
07:16:43 PM     all      5.54      0.00      1.38      0.01      0.02     93.05
07:17:43 PM     all      6.22      0.00      0.48      0.00      0.00     93.29
07:18:43 PM     all      2.41      0.00      0.66      1.04      0.11     95.78
07:19:43 PM     all      0.21      0.00      1.12      1.64      0.15     96.89
07:20:43 PM     all      0.23      0.00      1.07      1.61      0.17     96.92
07:21:43 PM     all      0.55      0.00      1.28      1.50      0.14     96.52
07:22:43 PM     all      0.71      0.00      1.29      1.43      0.13     96.45
07:23:43 PM     all      5.23      0.00      1.16      0.16      0.02     93.43
07:24:43 PM     all      3.70      0.00      2.70      0.13      0.03     93.43
07:25:43 PM     all      3.81      0.00      2.30      0.35      0.03     93.51
07:26:43 PM     all      4.98      0.00      2.04      0.00      0.02     92.96
07:27:43 PM     all      4.06      0.00      2.26      0.21      0.03     93.44
07:28:43 PM     all      4.32      0.00      2.23      0.14      0.04     93.27
07:29:43 PM     all      4.36      0.00      2.41      0.06      0.04     93.13
07:30:43 PM     all      4.43      0.00      2.20      0.10      0.04     93.23
07:31:43 PM     all      4.61      0.00      2.07      0.06      0.04     93.21
07:32:43 PM     all      4.43      0.00      2.17      0.08      0.04     93.28
